age,sexe,revenu_mensuel,nbr_visites_30j,temps_depuis_derniere_commande,type_client,commande_30j
59,F,1308.2485935263592,5,4.020329617533887,fidèle,0
21,F,5216.184887269223,5,13.65871245783197,occasionnel,0
71,M,2541.4973399155383,8,6.059230774960763,occasionnel,0
46,F,1363.7976848395922,7,11.419789856445432,occasionnel,0
35,M,565.1132344805227,4,5.049509442798799,occasionnel,1
43,F,3053.787125316257,5,138.46826145910097,premium,0
61,M,3620.208030961485,8,14.692942146343889,occasionnel,0
51,F,1676.379532342136,5,26.406126172745935,premium,1
27,F,2795.1736587252167,2,102.99593883160325,fidèle,0
53,M,7102.013052550505,3,50.89945860406458,fidèle,0
31,F,4669.924056517101,7,43.30947563294288,occasionnel,1
48,F,219.41831093850914,3,55.02108902407362,premium,0
65,M,1349.9508949881124,8,79.42737735822315,occasionnel,0
32,F,2254.3388590388818,1,94.54621423118188,fidèle,0
25,M,2651.795670266066,5,46.305480616249135,premium,1
31,M,,3,99.33034720315433,premium,1
40,F,3457.1846106374937,5,34.495791152283395,fidèle,1
74,F,2313.9034766302325,5,14.613679286627887,premium,1
57,F,2536.6800802278017,2,95.44063415851089,fidèle,0
38,F,4837.238086106748,7,35.088107622663166,occasionnel,1
33,F,3098.2523185512546,2,106.46663699193984,occasionnel,0
62,F,874.8558192793116,4,1.8448567199622683,occasionnel,0
35,F,2716.172627692535,5,22.801219091819245,occasionnel,0
64,M,2259.2577365809593,4,132.87460166671758,fidèle,0
70,F,339.70722350861115,4,12.924703721708719,fidèle,0
41,M,2822.513394611184,5,127.7706738227114,occasionnel,0
43,F,991.2679597968378,4,138.46480727203274,premium,1
42,F,4886.478723844508,4,96.22248458152173,occasionnel,1
62,M,3421.8607365647313,5,37.320838238658816,premium,1
58,F,827.7320491692042,7,46.850206698421445,premium,1
46,F,4735.773658793719,6,91.6775547388806,premium,0
32,M,6282.163923844013,6,67.30424455607462,fidèle,1
62,F,2046.375867997124,8,44.752767871254335,occasionnel,0
18,F,2248.8273999578732,5,181.435496600524,fidèle,0
42,F,4421.76660754096,2,52.0799851071904,occasionnel,0
24,M,5971.989691435514,4,166.87563431764684,occasionnel,0
26,F,464.8037082634291,6,2.6595466798944325,fidèle,0
41,F,,3,6.732663687048943,occasionnel,0
18,F,1785.8621476795258,3,27.022183740014416,premium,0
61,F,1949.6789664928954,5,21.86716643184324,premium,1
25,M,4334.136216378705,5,68.69865339716898,occasionnel,0
41,M,5992.667332580604,6,7.87880872510564,fidèle,1
28,F,6293.690903704481,2,168.01538083061337,occasionnel,0
68,F,451.7153384492842,6,17.029467612381772,premium,1
34,M,1241.6310629719117,4,25.210460996455566,fidèle,1
25,M,,3,14.455440295159212,occasionnel,0
52,F,1237.1024418079785,4,38.969393292705554,occasionnel,0
52,M,3414.3861859534954,2,2.718793684717863,occasionnel,1
50,F,3714.103645693331,6,7.296281830912302,premium,1
22,M,2512.457306185121,8,61.633119857527944,occasionnel,0
59,M,2332.7601813164288,5,9.288453126479956,occasionnel,0
56,M,1849.7508497887618,6,12.08484706817321,premium,0
58,M,2031.5853883558755,5,70.87278022400221,premium,0
45,F,7049.420372308078,5,4.40752247738671,premium,1
24,M,4107.087668240088,6,25.88929239105474,fidèle,1
26,M,1907.6782595416023,4,1.0500078718517445,fidèle,1
25,F,2297.914001377429,4,19.164746058676656,fidèle,0
29,M,3471.0873339271834,5,54.0262453858005,occasionnel,0
51,M,827.4650000226741,5,4.249088104812803,fidèle,1
50,F,2787.150164573907,4,98.65118785435374,occasionnel,0
65,M,3950.3133880428722,4,108.10776838911603,occasionnel,0
72,F,3600.7101941979404,7,4.991436302173995,premium,1
40,F,1263.7259884780324,5,210.65556409456306,occasionnel,0
41,F,1480.1615413876252,4,15.891837639728962,premium,0
54,F,292.2303579700621,3,3.9532461819089466,occasionnel,0
52,M,4246.010136745779,9,0.22859981345514432,occasionnel,0
61,F,9051.30914681866,6,23.630953692699222,fidèle,1
57,M,1108.8112120236249,6,44.71824838594555,fidèle,0
39,M,5295.482380634256,4,18.168096583495572,fidèle,0
44,M,8533.086666460247,7,81.55226815177191,premium,0
52,M,1702.8516618326494,6,56.74131431160919,occasionnel,0
18,M,2300.3932427114887,6,19.39641559633846,premium,0
52,M,3024.2596703508116,2,59.64407138448018,occasionnel,0
54,M,3519.454750781621,6,126.97077988392181,premium,1
64,M,3145.2428384889713,4,4.397340433598033,occasionnel,0
31,M,1815.6849189215004,7,16.44449076874148,fidèle,0
20,M,3907.178804507656,8,28.006394927545163,fidèle,0
18,F,1850.385683712243,6,31.01109721454806,occasionnel,0
22,F,3303.6617982437383,3,35.15910112675531,premium,1
43,F,2443.759882770632,4,16.090691669112896,occasionnel,1
72,M,398.5020204220947,5,49.51767648619478,occasionnel,0
31,F,5826.400320642703,3,46.614400017951866,fidèle,1
56,F,1514.8180828907296,5,38.80471875537433,occasionnel,0
44,F,6217.860240921158,8,5.434624233596446,occasionnel,0
26,M,5153.356518309344,8,29.165059039667728,fidèle,1
32,M,2957.696859165118,5,19.818401612380224,fidèle,0
32,M,3651.0236077352615,5,30.392228004192873,occasionnel,0
43,M,3969.1651166738316,8,114.72009981868486,fidèle,0
59,F,2136.996315411336,5,29.47269616111887,fidèle,0
30,F,2218.353382101076,4,0.6335749654317787,premium,1
68,F,3834.571349328213,3,25.998452835278044,premium,1
49,F,2463.9453759142853,7,77.32826674086984,fidèle,0
56,M,1820.5868429363734,4,68.14821126146289,fidèle,0
66,M,1282.1316346412718,4,32.41316021338844,occasionnel,0
69,M,3374.001523053481,5,12.931836165653328,occasionnel,1
49,F,1472.1615763900902,3,28.15444219022838,fidèle,0
21,M,4569.479691013989,5,37.32436285983187,premium,1
47,M,4837.2032404881575,4,403.15956354127206,fidèle,0
54,F,,6,46.49962169624825,occasionnel,0
40,F,4183.429395702486,5,53.326635145019246,occasionnel,0
56,M,,5,30.42899494885362,fidèle,0
62,M,4392.380910429971,2,19.69712464670869,fidèle,1
32,M,4263.624609971538,5,75.43778712222883,fidèle,0
60,M,3244.202492795343,3,30.737828136421975,fidèle,0
46,M,5197.687458072003,3,235.71845637553236,occasionnel,0
53,M,2197.3310040680635,5,27.489061609399048,premium,1
30,F,1317.15524861808,4,3.169024588776886,fidèle,0
49,F,1258.0374933572134,3,51.638561640376,occasionnel,0
24,F,1949.7983378234653,4,2.1493896348746273,occasionnel,0
68,M,,2,12.975799141879145,premium,1
39,F,2936.20616870867,6,19.644780411365247,premium,0
45,M,4006.2556592110627,7,60.529023392546826,occasionnel,0
19,M,4790.581826355487,3,30.675823926712102,occasionnel,1
59,F,500.3239740409659,5,1.3078905214607803,occasionnel,0
62,M,1294.769931879764,4,43.169775003193564,occasionnel,0
74,M,4474.844499679115,6,23.85315047397326,fidèle,1
70,F,2143.12822472979,6,114.70171647425887,fidèle,0
23,F,3943.400082533163,2,31.152248359201895,fidèle,0
45,F,786.1662118711153,2,55.54559728415847,fidèle,0
45,M,6169.005276280111,5,11.115529182739392,occasionnel,0
61,F,,2,64.40315060309138,occasionnel,0
61,F,2873.1908581710873,7,57.43724996294716,occasionnel,0
37,M,2928.3788411571018,4,105.49163612566203,occasionnel,1
47,F,1663.689996955823,5,1.5483071660075642,occasionnel,0
28,F,3540.5728215270074,7,26.69863987111709,fidèle,1
72,F,3612.1464258388173,5,51.15592771922614,fidèle,1
45,M,3339.505816287343,7,4.500065553512574,fidèle,1
42,M,1638.244502397149,1,23.78956991366393,fidèle,0
56,M,1381.5785248821655,3,128.242939832141,fidèle,0
50,M,1788.2336811220387,4,25.766319749706767,fidèle,0
18,F,1221.6401345075337,9,190.21776478253202,occasionnel,0
74,M,5359.846968396147,4,2.6333254788804035,premium,1
44,M,1917.2750117352073,5,56.936014175236366,occasionnel,0
74,F,2812.7283834352265,6,39.146539941300134,occasionnel,0
69,F,,6,31.24022029859254,occasionnel,1
30,F,1168.7090040787803,3,159.08450522747853,premium,0
58,M,694.5072888906483,3,6.248713928986694,premium,1
20,M,1225.4429602626508,5,101.85094349551574,fidèle,0
56,M,3043.6959776099106,7,52.883655051365736,fidèle,0
23,F,2893.9359914679553,6,13.488720952919028,fidèle,0
25,F,3334.9251520545135,6,104.37378396516596,premium,1
44,M,2305.39197224853,4,25.239721337185458,fidèle,0
26,F,126.94089559128095,7,75.74541960142369,premium,1
54,F,2248.8807765457195,4,22.157585522675735,occasionnel,0
50,F,4874.199116801836,8,85.65051759078375,occasionnel,1
68,M,5739.048793319205,5,45.554906431684294,premium,0
59,F,2675.644759106352,5,6.841829101263241,occasionnel,0
61,F,2901.897557327959,4,47.198708874542135,premium,1
41,M,3892.070330636764,5,9.557217532927858,fidèle,0
32,M,5631.066806611825,2,23.89035395367342,premium,0
71,F,2501.0225273061524,3,8.400859525086114,occasionnel,0
49,F,3854.307998122624,7,1.001793927164596,fidèle,1
49,M,1578.254760670344,5,10.715094630880815,occasionnel,0
41,M,802.8913353508052,6,34.59027706276917,fidèle,1
58,F,1720.998358102273,7,29.56197794126027,fidèle,1
69,F,6499.385094218964,2,31.32656384355556,premium,0
66,F,3908.835744332963,7,12.807119549343618,fidèle,0
66,F,879.5696592062684,5,52.00625336065812,occasionnel,0
69,M,4036.122913163919,5,54.82285663425937,premium,0
29,F,945.8039135362134,7,19.940258726876767,occasionnel,0
56,F,3302.050990512741,6,95.85279554510566,occasionnel,1
19,M,1128.446992964615,5,46.48003944862984,occasionnel,0
20,F,831.6538651584958,0,56.17844640801239,premium,0
66,M,7220.956150575261,7,14.616734250210436,occasionnel,0
54,F,1916.1009686891616,5,0.027532002630340304,occasionnel,0
66,F,3859.4290629223674,5,90.23700106059289,premium,1
73,M,2580.0797802635393,6,77.77614412856867,fidèle,0
34,M,1018.1460194483267,8,5.916019997484638,occasionnel,0
66,F,2082.933047399411,4,21.085779114058425,fidèle,0
19,F,1026.5082852916541,6,48.72404621462085,premium,1
19,F,10686.686888525097,4,47.51421323325243,occasionnel,0
45,M,4347.966859672508,1,88.58782728347504,fidèle,0
71,F,2543.7578604779915,3,6.801063939648229,fidèle,1
40,M,3716.2089961579545,4,25.290594814493083,fidèle,0
54,M,,5,4.602657657961398,occasionnel,0
49,F,4164.59696753258,4,22.213485661581053,fidèle,1
50,M,4042.4706064107504,5,0.6850226508673651,occasionnel,0
18,F,3830.0850086540804,2,102.84584240183287,fidèle,1
36,F,2702.47669444621,2,33.69388101154355,occasionnel,1
19,F,6859.342685682331,5,85.31111662703161,occasionnel,1
70,F,2832.823535430562,5,2.7798312125506937,occasionnel,1
61,F,2599.844060772449,5,11.613107058992416,fidèle,1
43,M,2850.9224921596447,6,13.512041967772076,occasionnel,0
49,M,3002.7946913568885,4,21.999923921515357,occasionnel,1
23,F,504.74684617879717,9,73.07430603711384,occasionnel,0
49,F,1214.353703207586,7,21.990120884619287,fidèle,0
72,M,2305.3314162394176,2,10.303985137524469,occasionnel,0
21,M,,3,3.0239249848975676,fidèle,1
72,M,2540.6650254644874,4,3.7273191317653422,occasionnel,0
28,M,2973.890222506607,6,64.22908799207381,occasionnel,0
73,F,767.5927917473782,7,26.479451570304338,fidèle,1
34,F,1486.295464710476,4,58.28797891652991,premium,0
55,M,5893.793135066418,5,51.59732412097925,occasionnel,0
41,F,3742.9379703689683,5,6.545020086223563,occasionnel,1
22,M,3594.23667725247,3,6.938397166357103,occasionnel,0
69,F,5421.639545466424,3,63.35523112909362,fidèle,0
51,M,1235.5838438896037,7,57.48775133466867,occasionnel,1
23,F,769.8749906618482,3,21.368909335253154,fidèle,0
39,M,4940.798457168009,8,3.626263765254447,occasionnel,0
28,M,2355.7869001265026,8,0.5477309280686952,occasionnel,0
65,F,1206.4185312492448,5,15.295402192802808,occasionnel,0
33,M,500.25695095821027,5,0.4169277911966295,fidèle,0
50,F,2875.0844585918267,3,11.765658676673807,fidèle,1
26,F,2149.7530622433515,3,24.47400388374909,occasionnel,0
23,M,1869.7282145053996,6,5.824957107394001,premium,1
33,F,197.24557412466316,5,4.955621024080776,occasionnel,0
46,F,6800.357611757513,4,102.04107133929112,fidèle,1
20,F,632.0965364481872,6,39.62745003072335,fidèle,1
37,F,2018.3658127860488,3,122.62629722025498,occasionnel,0
53,F,1757.49370840499,12,19.097197120605223,fidèle,0
36,M,3821.699230666256,1,50.87483004810624,fidèle,1
43,F,506.60161176582596,6,10.306143398261856,occasionnel,0
20,F,3506.0436130138264,1,43.34516776707262,fidèle,0
36,F,,6,6.245370371938184,occasionnel,0
37,F,1424.7035645103538,1,0.09372630208829502,fidèle,1
49,F,3418.741182810952,4,120.66236530504746,occasionnel,0
24,M,2537.2631323192504,3,36.42496506319273,fidèle,0
69,F,7874.733595304268,3,117.74174982326714,occasionnel,0
58,M,2148.239129259752,5,18.279570285823638,occasionnel,0
50,M,1067.60363737385,5,17.87303878468893,occasionnel,0
57,M,3530.9314740058117,5,23.036305036185453,occasionnel,1
56,M,1941.4480805998799,9,55.09417151605355,fidèle,1
35,F,2498.6280635405446,3,37.5421458154558,occasionnel,0
57,M,776.2241939486184,3,116.77547213585859,fidèle,0
18,M,3862.864882308848,6,1.1596552447531456,occasionnel,1
28,F,1695.768072555652,6,55.42527250812311,fidèle,1
45,F,3051.025413487907,3,18.043504868104545,fidèle,0
74,F,9168.881170442732,7,8.943116425619987,premium,1
42,M,2051.4989573233033,4,32.137092310176904,premium,0
67,F,4235.768498473424,1,31.64968717404745,premium,1
40,F,2165.2258733545477,7,6.630901535569922,fidèle,0
48,M,1441.5533759987634,7,10.148239554402,occasionnel,0
47,F,6030.884915639963,2,23.603707483227474,fidèle,1
59,F,347.60327236310843,5,23.652909598966687,premium,0
52,F,5002.594256622117,6,17.19350738133866,occasionnel,0
24,F,296.508400379573,9,7.236396276020745,fidèle,0
33,M,4657.475731574902,3,0.19724722269104372,occasionnel,0
43,F,2527.741662375806,4,158.14908763840572,fidèle,0
65,F,1070.3480235490704,10,129.30754533137386,occasionnel,0
74,M,1791.7148147803148,4,29.743703244196496,fidèle,0
69,F,4078.478187622379,4,238.89248829517294,fidèle,0
66,M,8612.761332395934,4,50.39091559573878,premium,0
19,F,529.5770804262617,7,3.210434666183457,fidèle,0
18,M,1132.1743731823622,8,5.6359697324131925,fidèle,1
65,M,707.4128979361722,6,111.52165146365061,occasionnel,0
29,M,2151.3621152467845,6,44.74770165848008,occasionnel,0
22,M,,3,83.37058896101811,occasionnel,0
54,F,611.2544917635,5,102.8443315546539,occasionnel,0
49,M,2476.6628484624066,6,26.73459837890804,occasionnel,0
72,F,4640.754520194352,2,2.2384290150998485,fidèle,1
26,M,1770.5129138754585,8,9.38701150641818,fidèle,1
58,M,2905.390474164368,5,3.10011262213967,fidèle,0
52,M,5737.87436614223,4,9.412492238263347,occasionnel,0
36,F,946.6181096341118,4,23.78413869532368,occasionnel,0
65,M,395.34784100528515,2,5.660387507182249,fidèle,0
33,F,3171.4972565147355,5,8.208065580854901,occasionnel,0
20,F,3235.520627868488,5,26.56210279299959,occasionnel,1
37,F,,4,18.709852196347732,occasionnel,0
41,F,1406.5112315141146,2,28.37112175475996,occasionnel,0
71,F,2566.7207801156696,4,25.230032516370414,occasionnel,0
73,F,930.3013434337744,4,46.53756990267572,occasionnel,1
50,F,931.7255146680102,1,124.54352100809221,occasionnel,0
41,F,4059.8683552860857,8,5.136168195911621,fidèle,1
69,F,869.9914283812228,4,4.70424586670763,occasionnel,1
28,M,425.9968888204481,10,86.2202065100557,occasionnel,0
66,M,1404.0624823862036,6,31.771040861855035,premium,1
25,M,1704.2105291919916,3,65.43749399675373,fidèle,0
53,M,3505.7724322452027,6,10.917412312769137,occasionnel,1
55,M,1512.255775909938,4,79.43797708015474,premium,0
57,F,6389.809645444659,3,115.87526413208259,occasionnel,0
37,F,2668.8841909568787,2,45.41319594174294,occasionnel,0
52,F,1238.7239022198116,3,5.03613856024557,premium,1
65,F,3400.905107700808,5,101.54729843231709,premium,1
42,F,6314.911232940598,3,70.76541581351627,occasionnel,1
52,F,3982.976394838298,4,62.541524050963844,fidèle,1
42,F,572.7892474648793,3,1.6838843624698925,fidèle,1
46,M,1827.72367440466,6,72.1918776057081,occasionnel,1
35,M,3016.484697262733,5,6.679942988852055,occasionnel,0
63,M,,5,11.318636181120677,occasionnel,0
35,M,2161.7571947953825,4,38.73158591878488,premium,1
19,F,1929.0247218200323,4,13.853637936661098,occasionnel,0
71,F,7836.775388610794,6,48.72522855381843,fidèle,1
52,F,4023.9923357179746,4,42.150292598706706,occasionnel,0
33,M,3408.491104737274,6,5.150559205995881,occasionnel,0
58,F,1567.2149634572688,4,48.022020226815854,fidèle,0
53,F,917.4289403463133,5,115.93929702809497,fidèle,1
50,F,3451.3244230344976,5,7.905400944727402,occasionnel,0
21,M,4332.113140230231,4,40.90376821501322,occasionnel,1
50,F,2489.179006307185,5,18.825559499925912,fidèle,0
31,M,4031.4903396226787,3,27.69602721867416,occasionnel,0
38,M,4103.269351619409,4,15.222334937873548,occasionnel,0
65,M,4531.110434898991,6,19.67211085940543,fidèle,0
37,M,562.1296434526671,6,1.3202102062662928,fidèle,0
73,F,1870.392392377069,1,179.67532990444406,occasionnel,0
25,M,3600.2687409680084,3,44.11331343696848,fidèle,1
24,M,2597.630347164889,4,31.255171119060996,premium,1
20,F,4112.142378280026,6,21.782084724657686,occasionnel,0
34,F,3407.0301596244335,4,34.88265262179545,fidèle,1
50,M,218.83463488617943,3,21.51930515534764,occasionnel,1
65,F,5283.332621716228,14,20.07644623580767,occasionnel,1
29,M,1682.6532819935587,5,28.05846242811028,occasionnel,0
68,M,1173.795542796286,4,14.53232037218321,occasionnel,0
39,M,5165.534491653435,5,8.933030738708663,fidèle,1
72,M,3895.283192821476,5,36.59833278243677,occasionnel,0
39,F,5657.92742711371,7,83.2507448102043,fidèle,0
63,M,3040.8027150922626,7,7.4633285284020525,occasionnel,0
47,F,1850.9136901977142,7,1.4976943167243677,occasionnel,0
55,F,,2,12.754803419689575,fidèle,0
55,F,989.4960405028914,5,175.41683231643773,fidèle,0
62,F,688.9165055083041,3,79.41050770039715,fidèle,1
68,M,1468.7002768922569,7,40.770400738498864,fidèle,1
71,F,6801.467111341485,2,119.18643346457243,occasionnel,0
25,M,1599.347190491192,6,26.518059223165437,fidèle,1
44,F,437.0721383254932,4,184.1033570022023,occasionnel,0
44,F,,8,15.813272531308202,fidèle,0
51,M,1581.4627330056562,5,12.367765288870864,premium,1
38,M,5348.161770105431,1,45.730990276278085,occasionnel,1
47,M,6484.866703462642,2,21.3778239202331,occasionnel,0
50,F,1781.7631535374592,3,44.30148050173494,fidèle,0
45,F,3038.662805994209,6,16.372664322875643,fidèle,0
64,M,3226.5859606249364,8,43.295431766961784,occasionnel,0
50,M,2406.9636961537853,4,14.51760656359809,premium,1
22,M,,3,2.354267186134463,fidèle,0
65,M,1103.35958213101,6,109.43837992180558,occasionnel,0
36,F,358.2885289473584,6,96.63015357754448,occasionnel,0
21,M,1097.4457524312245,8,159.0085435789583,fidèle,0
52,M,2341.8790163124313,6,56.728755904349626,occasionnel,0
66,M,612.4140779061153,6,51.65884467864659,occasionnel,0
34,M,2923.2345040900177,5,36.84228143312046,fidèle,0
61,F,2636.703399265713,4,6.057405914253964,fidèle,1
45,M,,5,9.43998372468435,fidèle,0
47,F,,5,15.37846516746467,occasionnel,0
46,M,733.374960546972,6,99.39138310745419,fidèle,0
63,M,4475.579865354259,11,8.546118034364694,premium,1
70,F,4423.432930269478,8,115.30368573803034,occasionnel,0
23,M,870.500021658889,7,33.290536139790746,fidèle,0
52,F,895.3832270966508,7,56.577006890096335,premium,0
58,F,1110.9318703611282,4,5.256385115828037,fidèle,1
54,M,3727.2097032837924,8,14.102447158972264,fidèle,1
41,F,3219.248872184928,6,143.21296539972852,occasionnel,1
46,F,5125.994653449861,2,13.925275137330068,fidèle,1
66,F,5517.7216733258465,4,15.827322494733973,fidèle,1
63,F,552.7066892579121,0,9.90651524258633,fidèle,0
70,F,3633.931484760724,6,6.218904656679263,premium,1
48,F,5370.552370012994,0,11.952199893063758,occasionnel,0
52,F,1907.261507272194,7,46.26611170760202,occasionnel,0
50,F,2454.6682456485755,9,27.34400035944626,occasionnel,1
69,M,2177.3360478887057,7,36.31000610709713,fidèle,0
38,M,2253.9491417074787,2,5.873593239583999,occasionnel,0
49,F,4465.066348995179,4,72.9034442226259,fidèle,0
40,M,7649.042888486157,8,68.98119282208366,occasionnel,0
50,F,6242.834090238259,5,0.9821872383624615,occasionnel,1
20,F,1647.009628758471,5,21.76746483956,occasionnel,0
35,M,3045.7407487572113,6,3.206233460480452,premium,1
42,F,1268.669956579338,2,70.68266475832426,fidèle,0
59,F,1387.0264167523403,4,60.14822328100724,premium,0
48,F,2372.153215655112,7,104.51998443986818,fidèle,0
71,F,1354.3129812178915,3,12.137236728040538,occasionnel,1
20,M,1536.5640134780988,6,27.420753730654663,occasionnel,0
57,F,2992.852552238726,2,9.177254617797114,premium,1
63,F,3597.847646919012,8,20.879891855113094,fidèle,1
41,F,3529.946714253579,10,33.23941067307685,occasionnel,0
67,M,3554.9794372550705,5,2.466249736877168,fidèle,1
49,F,787.5962702512288,4,56.46651762061471,occasionnel,0
64,M,1294.0690354594828,4,35.26713092810876,occasionnel,0
39,M,2574.188291864254,8,79.46334385919958,occasionnel,0
40,F,5206.612856926716,9,14.271874509487972,fidèle,1
19,F,10439.993725199376,7,105.13620699548473,occasionnel,0
44,M,3135.701880257872,7,298.8441005172997,occasionnel,0
59,F,4173.792841727662,3,113.26488088208743,occasionnel,0
19,M,700.5143833202892,8,67.70671520724962,occasionnel,1
43,M,4096.216180059987,7,75.2974632114155,fidèle,0
34,F,8683.96268381446,2,38.3722084461985,occasionnel,0
57,F,1289.8658165405911,5,9.490995160755233,occasionnel,0
50,M,,7,50.860301575625336,premium,0
26,M,4561.362614826593,6,56.13357660044982,occasionnel,1
60,M,2549.4874551453954,1,190.1572415097889,occasionnel,0
71,M,320.71314983615883,3,35.071278611376314,occasionnel,0
65,F,1661.496597088359,4,14.246454086218927,fidèle,0
56,F,6467.089070664701,4,51.79397752794044,fidèle,1
46,F,1997.7665606500002,3,174.6580990029733,occasionnel,0
59,F,1996.4374008599893,7,8.777656121868874,premium,1
72,F,4364.139460924996,9,17.753493593182043,fidèle,1
43,M,3218.0160823205174,4,35.128179107208375,fidèle,1
52,F,1911.74174737596,3,8.396469354449101,occasionnel,0
67,F,1491.9500216596725,4,1.0112056731260248,occasionnel,0
42,F,13663.221792921684,4,18.492967474750962,fidèle,1
41,F,5767.905728697486,6,90.23539308165944,premium,1
30,F,3554.041909881187,3,1.999865377172022,fidèle,1
24,M,3716.576455981063,10,25.210882671432497,occasionnel,0
74,M,2264.8432870499905,5,64.63478452728064,occasionnel,0
53,M,3190.2053212767382,5,137.76751279364115,fidèle,0
62,F,2080.8766469031193,3,190.4360151062763,fidèle,0
37,M,1187.1458541627474,2,24.665779664437967,occasionnel,0
18,M,3281.2821244255156,7,135.15515324057608,occasionnel,1
25,F,1940.676513593516,5,1.6227648506185535,occasionnel,0
63,F,3404.939565349967,4,61.65423223505472,fidèle,1
33,F,3868.912137721467,6,46.31887631420039,fidèle,0
31,M,3533.920457827162,5,12.91701385642117,fidèle,0
